Equipment_ID,Date,daily_heating_hours,daily_cooling_hours,daily_off_hours,daily_unknown_hours,daily_runtime_hours,daily_fan_on_hours,fan_runtime_ratio,setpoint_change_count,occupied_ping_count,unoccupied_ping_count,indoor_temp_time_weighted_mean,setpoint_time_weighted_mean,outdoor_temp_time_weighted_mean,outdoor_humidity_time_weighted_mean,setpoint_gap_mean,day_of_week,is_weekend,month,month_sin,month_cos,indoor_temp_min,indoor_temp_q25,indoor_temp_median,indoor_temp_q75,indoor_temp_max,indoor_temp_range,indoor_temp_mean,indoor_temp_std,indoor_temp_variance,indoor_temp_iqr,indoor_temp_skewness,indoor_temp_kurtosis_excess,indoor_temp_raw_moment_2,indoor_temp_raw_moment_3,setpoint_min,setpoint_q25,setpoint_median,setpoint_q75,setpoint_max,setpoint_range,setpoint_mean,setpoint_std,setpoint_variance,setpoint_iqr,setpoint_skewness,setpoint_kurtosis_excess,setpoint_raw_moment_2,setpoint_raw_moment_3,outdoor_temp_min,outdoor_temp_q25,outdoor_temp_median,outdoor_temp_q75,outdoor_temp_max,outdoor_temp_range,outdoor_temp_mean,outdoor_temp_std,outdoor_temp_variance,outdoor_temp_iqr,outdoor_temp_skewness,outdoor_temp_kurtosis_excess,outdoor_temp_raw_moment_2,outdoor_temp_raw_moment_3,outdoor_hum_min,outdoor_hum_q25,outdoor_hum_median,outdoor_hum_q75,outdoor_hum_max,outdoor_hum_range,outdoor_hum_mean,outdoor_hum_std,outdoor_hum_variance,outdoor_hum_iqr,outdoor_hum_skewness,outdoor_hum_kurtosis_excess,outdoor_hum_raw_moment_2,outdoor_hum_raw_moment_3,true_outside_min,true_outside_max,true_outside_mean,true_humidity_mean,outdoor_temp_trend_gradient,temp_gradient_mean
timeseries_table_timeseries_table (6),2025-05-09,0.0,0.0,4.8375,5.475833333333333,0.0,0.0,0.0,0,9,0,19.107104155428015,20.56,17.77758310366925,72.99517079858379,1.4528958445719837,4,0,5,0.49999999999999994,-0.8660254037844387,18.86,18.890137499999998,19.077312866505693,19.17624320316362,20.12,1.2600000000000016,19.107104155428015,0.24011310010213283,0.05765430084065686,0.2861057031636207,1.0742410566580711,1.3953110902070138,365.1358804905018,6978.784983443273,20.56,20.56,20.56,20.56,20.56,0.0,20.56,0.0,0.0,0.0,,,422.71359999999993,8690.991615999998,13.573425720620843,15.185877532750927,19.017872847998415,19.664737866594162,19.968645948945614,6.395220228324771,17.77758310366925,2.2760186473476045,5.18026088307402,4.478860333843235,-0.5861107935546832,-1.3872459218104964,321.0932153688635,5880.931267689344,65.55432372505543,68.24555743675839,70.55779321086791,79.1459377005675,82.08536585365854,16.53104212860312,72.99517079858376,5.590652571490708,31.25539617511566,10.900380263809112,0.42952134468820735,-1.336045360305447,5358.768971185155,395688.221363991,12.75,21.14,16.418804347826086,83.6086956521739,0.2256902762224709,2.688299807601929
timeseries_table_timeseries_table (6),2025-05-10,0.0,0.0,13.601666666666667,10.398333333333333,0.0,0.0,0.0,0,23,0,18.599574371271952,20.56,16.618365398492777,57.09875491452796,1.9604256287280464,5,1,5,0.49999999999999994,-0.8660254037844387,17.92,18.21944573901465,18.58,18.991002629848783,19.52,1.5999999999999979,18.599574371271956,0.4907092724463821,0.2407955900648577,0.7715568908341339,0.33449222611749907,-1.191873510330883,346.17665908633217,6447.426555507097,20.56,20.56,20.56,20.56,20.56,0.0,20.56,0.0,0.0,0.0,,,422.7136,8690.991616,10.293392461197339,12.51306180816069,17.42726394479293,20.693657104564025,22.939048672566372,12.645656211369033,16.618365398492777,4.236521548219787,17.948114828530578,8.180595296403334,-0.04067645371425195,-1.5253061177617602,293.90451531267956,5470.554722778149,36.60951327433628,42.792995206709776,56.93751934820061,70.20563132756503,79.85587583148559,43.24636255714931,57.09875491452796,13.166466160041523,173.35583114351857,27.412636120855254,-0.09553535086985755,-1.474779420835245,3431.559884038283,215280.86690367584,9.05,23.14,16.56086956521739,57.26086956521739,0.8466555594447777,2.038704806054561
timeseries_table_timeseries_table (6),2025-05-11,0.0,0.0,16.15,7.85,0.0,0.0,0.0,0,24,0,19.00103583941965,20.560000000000002,20.6564092021623,64.85672654301389,1.5589641605803521,6,1,5,0.49999999999999994,-0.8660254037844387,18.45,18.699355555555556,19.01981072555205,19.23907222548444,19.8,1.3500000000000014,19.001035839419647,0.3453680871113844,0.11927911559497678,0.5397166699288825,0.04446582514637051,-1.1225997908898886,361.1551338772225,6866.723008450087,20.56,20.56,20.56,20.56,20.56,0.0,20.56,0.0,0.0,0.0,,,422.71359999999993,8690.991615999998,14.363608017817374,15.99300039881173,20.320217060584337,25.061107939488146,28.045899441340786,13.682291423523413,20.6564092021623,4.463986502019124,19.927175490208935,9.068107540676415,0.23613504117021697,-1.3994375189341097,446.393003556382,10055.982439347654,51.601117318435755,55.0,59.463409909404774,67.0,95.0,43.398882681564245,64.85672654301389,13.516310222349945,182.6906420268016,12.0,1.1742125396691478,-0.12763112368593443,4387.0557238795645,310863.68962148414,13.04,28.14,20.621827956989247,65.39784946236558,1.082125059383714,-1.6207921175695965
timeseries_table_timeseries_table (6),2025-05-12,0.0,0.0,17.724722222222223,6.275277777777778,0.0,0.0,0.0,0,23,0,20.174664180200146,20.559999999999995,20.287378773347697,82.97974074635857,0.3853358197998489,0,0,5,0.49999999999999994,-0.8660254037844387,18.99,19.53216039707419,20.43547890342643,20.56,20.89,1.9000000000000021,20.174664180200146,0.588427630880431,0.34624707678355676,1.027839602925809,-0.8299470321704384,-0.8808286296749448,407.3569098777309,8231.831881532287,20.56,20.56,20.56,20.56,20.56,0.0,20.560000000000002,3.581249990064246e-15,1.282535149133516e-29,0.0,-0.9762852098805582,-2.031494079113127,422.71359999999993,8690.991615999996,17.36451612903226,18.2,18.79666286252135,22.662391833902095,25.730000000000004,8.365483870967743,20.287378773347697,2.767891812350411,7.661225084876442,4.462391833902096,0.7881292926368144,-0.9585391640633785,419.1659985297277,8828.383862985364,54.0,70.23418445121952,91.99411795367337,93.0,95.0,41.0,82.97974074635856,14.034947771089508,196.97975893721033,22.76581554878048,-0.9187153340450482,-0.8188306212625771,7080.741135565927,617397.5017828052,15.79,26.37,20.23778947368421,83.21052631578948,1.073180599282297,-0.06312529348406315
timeseries_table_timeseries_table (6),2025-05-13,0.0,0.0,14.655833333333334,9.344166666666666,0.0,0.0,0.0,0,23,0,20.49095013845035,20.56,19.376085814907878,83.60501455038289,0.06904986154964732,1,0,5,0.49999999999999994,-0.8660254037844387,20.0,20.33276197836167,20.508574730299912,20.69,21.0,1.0,20.49095013845035,0.22578370771083695,0.050978282667652655,0.35723802163833085,-0.19226316696917387,-0.758026736860625,419.9288020904913,8606.777376725184,20.56,20.56,20.56,20.56,20.56,0.0,20.56,0.0,0.0,0.0,,,422.7135999999999,8690.991615999996,15.492927374301676,16.361296721717608,18.83482569075087,22.695444410943608,25.347866666666665,9.854939292364989,19.376085814907878,3.4457222968580434,11.87300214706467,6.3341476892260005,0.47001665497520945,-1.321775078061972,387.17523110267217,7976.217908964829,55.4460511679644,72.06471084845927,89.64629950591096,95.0,98.0,42.5539488320356,83.60501455038289,14.130711315509686,199.6770022822735,22.93528915154073,-0.7497173892183463,-0.975809840323766,7187.281207479676,631798.4600731758,14.7,26.08,19.34086956521739,83.68478260869566,0.7243420653864152,1.1500805732329624
timeseries_table_timeseries_table (6),2025-05-14,0.0,0.0,15.448055555555555,8.551944444444445,0.0,0.0,0.0,0,22,0,20.448992079967642,20.560000000000002,22.157708942597036,77.87831843013959,0.11100792003236037,2,0,5,0.49999999999999994,-0.8660254037844387,20.11,20.32578611111111,20.460389261744968,20.55217083333333,20.75,0.6400000000000006,20.448992079967642,0.1695370482128572,0.028742810716728667,0.22638472222222106,0.01054032757076307,-0.7312609751568555,418.18935145983755,8552.698972564549,20.56,20.56,20.56,20.56,20.56,0.0,20.56,0.0,0.0,0.0,,,422.7136,8690.991616,15.886833333333335,17.593248841213086,22.51189051096863,26.63122243463342,28.310844444444445,12.42401111111111,22.157708942597033,4.3992679177408425,19.35355821206385,9.037973593420332,-0.04748785065160446,-1.5218292065166117,510.1072590337341,12147.103606266182,58.0,63.484915881844024,76.93302421750806,92.36914074074073,95.67444444444445,37.67444444444445,77.87831843013959,13.389732819528868,179.2849449783685,28.884224858896708,-0.1262987980901626,-1.5250970879811963,6242.368677082651,513463.27495428757,15.13,29.15,22.191595744680853,77.70212765957447,0.43720561802911895,-1.7426036647132115
timeseries_table_timeseries_table (6),2025-05-15,0.0,0.0,11.354722222222222,12.645277777777778,0.0,0.0,0.0,0,19,0,20.32121669819288,20.560000000000006,25.196988977642107,70.88997944455231,0.23878330180712481,3,0,5,0.49999999999999994,-0.8660254037844387,20.08,20.212485140107557,20.32227626647452,20.445918055555556,20.54,0.46000000000000085,20.321216698192888,0.13449001065528163,0.018087562966057763,0.23343291544799882,-0.20063131213850985,-1.3401752902528685,412.9694596693803,8392.757168864347,20.56,20.56,20.56,20.56,20.56,0.0,20.560000000000002,3.599156351650932e-15,1.2953926443629248e-29,0.0,-0.9617860737501197,-2.0506245890861274,422.71359999999993,8690.991616,20.968073089700994,22.819173486549342,25.27,27.330596266695174,29.51,8.541926910299008,25.196988977642107,2.567036023580104,6.589673946357952,4.511422780145832,0.15428426611060692,-1.238443885095975,641.4070707766753,16492.645886598424,60.571111111111115,66.6003574333818,69.82920644553141,75.00000000000001,85.70634037819799,25.135229267086878,70.88997944455231,6.863288053385268,47.104722903740935,8.399642566618212,0.27022623024238157,-0.8348737917679387,5071.987406155976,366247.13907805044,20.9,30.26,25.200833333333335,70.875,0.7244453270085485,-4.879616635140454
timeseries_table_timeseries_table (6),2025-05-16,0.0,0.0,14.438888888888888,9.561111111111112,0.0,0.0,0.0,0,19,0,20.31291931546905,20.560000000000002,25.22826205882842,78.33916668159743,0.24708068453095322,4,0,5,0.49999999999999994,-0.8660254037844387,19.98,20.154219015280137,20.26,20.38309055411982,20.92,0.9400000000000013,20.312919315469046,0.2285371994043269,0.05222925151157307,0.2288715388396838,0.9126140286411041,0.46774355203204543,412.66595315990577,8384.543667530557,20.56,20.56,20.56,20.56,20.56,0.0,20.560000000000002,3.594759091179878e-15,1.2922292923620383e-29,0.0,-0.9653198844313496,-2.0459707950243375,422.7136,8690.991615999996,20.16,24.033697028423774,25.1906692207662,26.68646680224946,28.641395348837207,8.481395348837207,25.22826205882842,1.9458626689178837,3.78638152628823,2.6527697738256855,-0.3534236253967274,0.28741527521380794,640.2133417571665,16337.98388898213,71.0,74.0,77.0,83.0,87.07308970099668,16.073089700996675,78.33916668159745,4.864033015914226,23.658817179903647,9.0,0.05414231674251157,-1.6439968314962714,6160.444875595698,486279.7298699414,20.16,29.05,25.23621052631579,78.30526315789474,1.2973778901313149,-4.923291210846742
timeseries_table_timeseries_table (6),2025-05-17,0.0,0.0,4.7925,19.2075,0.0,0.0,0.0,0,6,0,20.54695687266857,20.560000000000002,21.908111842030102,70.21778488691915,0.013043127331432203,5,1,5,0.49999999999999994,-0.8660254037844387,20.34,20.41205,20.591269444444446,20.63,20.91,0.5700000000000003,20.546956872668574,0.15103737805238635,0.02281228956893948,0.2179499999999983,0.24644670263040544,-0.5055660634893888,422.1996153421609,8675.82954331282,20.56,20.56,20.56,20.56,20.56,0.0,20.560000000000002,3.66205343881779e-15,1.34106353887572e-29,0.0,-0.9130752942544299,-2.1141868512110724,422.7136,8690.991615999998,17.649999999999995,18.810138475831664,20.671385881078294,25.828275239992557,29.230421753607104,11.580421753607109,21.908111842030106,3.883440255214827,15.081108215822999,7.018136764160893,0.5670569911529576,-1.295841811397567,494.82138153132234,11524.747324653807,38.04008908685969,48.234491315136474,74.4331939033824,91.0,94.0,55.95991091314031,70.21778488691915,19.713702825639654,388.6300790976329,42.765508684863526,-0.2892375481138553,-1.4813408432867572,5313.3669445815285,424639.80779101816,16.34,29.25,22.27125,67.53125,1.3263514252492865,-1.7242931273314284
timeseries_table_timeseries_table (6),2025-05-18,0.0,0.0,5.457222222222223,18.54277777777778,0.0,0.0,0.0,0,10,0,20.603549214889206,20.56,21.242903012726323,69.10669033707687,-0.04354921488920738,6,1,5,0.49999999999999994,-0.8660254037844387,20.12,20.466040116467163,20.59960996558104,20.77,21.06,0.9399999999999977,20.603549214889206,0.196701533910214,0.03869149344263107,0.303959883532837,-0.016722934405387663,-0.4160863747676302,424.544071932839,8748.673486548478,20.56,20.56,20.56,20.56,20.56,0.0,20.56,0.0,0.0,0.0,,,422.7135999999999,8690.991616,15.89,17.760218974003855,21.525118968118104,24.084896753257027,26.3,10.41,21.242903012726323,3.3888333549123315,11.484191507366369,6.324677779253172,-0.07831669133176744,-1.3967848297999483,462.62423368907025,10307.212981696091,52.0,56.41572334081503,69.31303182380161,82.0,89.22803114571747,37.228031145717466,69.10669033707687,13.425375037183354,180.24069488902595,25.584276659184972,0.10642907382517659,-1.6184928373948406,4954.078073761145,367266.9239172461,14.65,27.1,21.248958333333334,69.29166666666667,0.7430382858004059,-0.6454091184441282
